IHID,ProgramID,ProgramName,GovernmentName,GovernmentType,CensusID,Census Type,AddressStreet,City,County,State,name,Government Address: Zip,Program Applicable Areas,Year Program Adopted,Year Program Updated,3rd Party Managing Entity,Data Entry Year,Unit- vs. Fee-based Program?,Program Type and Development Type,Program Type,Development Type,(Ownership) Resale Restriction Exists?,(Ownership) Resale Formula Exists?,(Rental) Rent restriction Exists?,(Rental) Rent restriction Exists?,(Rental) Compliance Monitoring Exists?,(Rental) Timing of Income Certification,(Rental) Noncompliance Remedies/Enforcement,"""Right of 1st Refusal"" Exists?",Incentive,Affordable Housing Compliance Option,Minimum Project Size,Minimum Set-aside,Any Set-aside Requirement At 20% Or More?,Highest Income Served,Lowest Income Served,(Rental) Income Requirement Type,(Rental) Single Income Requirement Detail,(Rental) Multiple Tiers of Income Targeting Detail,(Ownership) Income Requirement Type,(Ownership) Single Income Requirement Detail,(Ownership) Multiple Tiers of Income Targeting Detail,(Rental) Term of Affordability,(Rental) Affordability Term Restart?,(Ownership) Term of Affordability,(Ownership) Affordability Term Restart?,TotalAffordableRentalUnits,TotalAffordableOwnershipUnits,TotalAffordableUnits,In-Lieu Fees,Program Type,Commercial Development Type,Office Development Fee Rate,Industrial Development Fee Rate,Retail/Service Development Fee Rate,Hotel Development Fee Rate,R&D Fee Rate,Commercial Development Exemptions,Residential Development Type,Rental Fee Rate,Single Family For-Sale Fee Rate,Multifamily For-Sale Fee Rate,Townhouse For-Sale Fee Rate,Alternative Compliance Option,Fee Amount - Residential Development,Fees Amount - Commercial Development,Total Affordable Units
589,"Wilmington, NC: Density Bonus Incentives for Affordable Housing",Density Bonus Incentives for Affordable Housing,Wilmington,Town or city,1600000US3774440,Place,102 North Third Street P.O. Box 1810,Wilmington,,NC,North Carolina,28402,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,,,,"Density bonus, fee reduction/waiver",On-site units,,15% of total project units,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,"Winston-Salem, NC: Bonus Density for Affordable Housing",Bonus Density for Affordable Housing,Winston-Salem,Town or city,1600000US3775000,Place,101 North Main Street,Winston-Salem,Forsyth,NC,North Carolina,27101,Entire jurisdiction,1994,,,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,,,,Density bonus,"On-site units, donate land",2 units,20% of total project units. And the set-aside requirement varies.,Yes,120% AMI,80% AMI,Multiple options of income targeting requirement,,,Multiple options of income targeting requirement,,,15 years,,15 years,,,,,,,,,,,,,,,,,,,,,,
591,"Alton, NH: Inclusionary Zoning",Inclusionary Zoning,Alton,Town or city,0600000US3300101060,County Subdivision,"PO BOX 659, 1 Monument Square",Alton,,NH,New Hampshire,3809,Entire jurisdiction,2014,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,,,Yes,Yes,Every time a new tenant moves in,,,None,On-site units,,20% of total project units,Yes,100% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 100% AMI,,,,,,,,,,,,,,,,,,,,,,,,,,
592,"Amherst, NH: Workforce Housing",Workforce Housing,Amherst,Town or city,0600000US3301101300,County Subdivision,"Amherst Town Hall, 2 Main Street, Amherst, NH 03031",Amherst,Hillsborough,NH,New Hampshire,3031,Entire jurisdiction,1989,2015,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,No,No,Yes,Yes,,"Notice of violation and opportunity to cure, revocation/denial/suspension of permits",No,Density bonus,On-site units,,,No,100% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 100% AMI,,25 years,,25 years,,,,,,,,,,,,,,,,,,,,,,
593,"Atkinson, NH: Inclusionary Housing Accommodation Incentive System",Inclusionary Housing Accommodation Incentive System,Atkinson,Town or city,0600000US3301502340,County Subdivision,21 Academy Avenue,Atkinson ,,NH,New Hampshire,3811,Entire jurisdiction,2017,,,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,Annually,,,Density bonus,On-site units,5 units,20% of total project units,Yes,100% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 100% AMI,,30 years,,30 years,,,,,,,,,,,,,,,,,,,,,,
594,"Auburn, NH: Workforce Housing",Workforce Housing,Auburn,Town or city,0600000US3301502820,County Subdivision,"47 Chester Road, P.O. Box 309",Auburn,,NH,New Hampshire,3032,"Certain zones, neighborhoods, or districts",,,,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,,,,Density bonus,On-site units,,20% of total project units,Yes,100% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 100% AMI,,30 years,,30 years,,,,,,,,,,,,,,,,,,,,,,
595,"Bedford, NH: Workforce Housing",Workforce Housing,Bedford,Town or city,0600000US3301104500,County Subdivision,24 North Amherst Road ,Bedford,,NH,New Hampshire,3110,Entire jurisdiction,2009,,,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,,,,Density bonus,On-site units,,25% of total project units,Yes,,,,,,,,,30 years,,30 years,,,,,,,,,,,,,,,,,,,,,,
596,"Brentwood, NH: Workforce Housing",Workforce Housing,Brentwood,Town or city,1600000US0608142,Place,1 Dalton Road,Brentwood,,NH,New Hampshire,3833,"Certain zones, neighborhoods, or districts",,,New Hampshire Housing and Finance Authority,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,,,,"Density bonus, fee reduction/waiver",On-site units,10 acres (parcel),40% of total project units,Yes,100% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 100% AMI,,30 years,,30 years,,,,,,,,,,,,,,,,,,,,,,
597,"Brookline, NH: Workforce Housing - Mixed Development",Workforce Housing - Mixed Development,Brookline,Town or city,0600000US3301108100,County Subdivision,"1 Main Street, P.O. Box 360",Brookline,,NH,New Hampshire,3033,"Entire jurisdiction but requirements vary by zones, neighborhood, or districts",,,,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,,,,Density bonus,On-site units,,50% of total project units,Yes,100% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 100% AMI,,30 years,,30 years,,,,,,,,,,,,,,,,,,,,,,
599,"East Kingston, NH: Workforce Housing Ordinance",Workforce Housing Ordinance,East Kingston,Town or city,0600000US3301521380,County Subdivision,"24, Depot Road",East Kingston,,NH,New Hampshire,3827,"Certain zones, neighborhoods, or districts",,,,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,Annually,,,Density bonus,On-site units,,20% of total project units,Yes,100% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 100% AMI,,30 years,,30 years,,,,,,,,,,,,,,,,,,,,,,
601,"Hampton Falls, NH: Affordable/Workforce Housing",Affordable/Workforce Housing,Hampton Falls,Town or city,0600000US3301533460,County Subdivision,1 Drinkwater Road,Hampton Falls,,NH,New Hampshire,3844,"Certain zones, neighborhoods, or districts",,,New Hampshire Housing and Finance Authority,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,Annually,,,Fee reduction/waiver,On-site units,,,,100% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 100% AMI,,In perpetuity,,In perpetuity,,,,,,,,,,,,,,,,,,,,,,
604,"Londonderry, NH: Workforce Housing/Inclusionary Zoning",Workforce Housing/Inclusionary Zoning,Londonderry,Town or city,0600000US3301543220,County Subdivision,268B Mammoth Road,Londonderry,,NH,New Hampshire,3053,"Certain zones, neighborhoods, or districts",,,,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,Annually,,,Other zoning variances,On-site units,,50% of total project units,Yes,100% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 100% AMI,,40 years,,40 years,,,,,,,,,,,,,,,,,,,,,,
605,"Sunapee, NH: Workforce Housing/inclusionary zoning",Workforce Housing/inclusionary zoning,Sunapee,Town or city,0600000US3301975060,County Subdivision,23 Edgemont Road,Sunapee,,NH,New Hampshire,3782,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,,,,Density bonus,On-site units,8 units,,,,,,,,,,,30 years,,30 years,,,,,,,,,,,,,,,,,,,,,,
606,"Wakefield, NH: Workforce Housing/inclusionary zoning",Workforce Housing/inclusionary zoning,Wakefield,Town or city,0600000US3300378180,County Subdivision,2 High Street,Sanbornville,,NH,New Hampshire,3872,"Certain zones, neighborhoods, or districts",,,,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,Annually,,,Density bonus,On-site units,8 units,25% of total project units. And the set-aside requirement varies.,Yes,100% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 100% AMI,,30 years,,30 years,,,,,,,,,,,,,,,,,,,,,,
608,"Windham, NH: Workforce Housing Overlay District",Workforce Housing Overlay District,Windham,Town or city,0600000US3301585780,County Subdivision,3 N Lowell Road,Windham,,NH,New Hampshire,3087,"Certain zones, neighborhoods, or districts",,2018,,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,,,,Other zoning variances,On-site units,,50% of total project units,Yes,100% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 100% AMI,,30 years,,30 years,,,,,,,,,,,,,,,,,,,,,,
609,"Wolfeboro, NH: Inclusionary Zoning",Inclusionary Zoning,Wolfeboro,Town or city,0600000US3300386420,County Subdivision,"84 South Main St, P.O. Box 629",Wolfeboro,,NH,New Hampshire,3894,"Certain zones, neighborhoods, or districts",,,New Hampshire Housing and Finance Authority,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,,,Yes,Yes,Annually,,,Density bonus,On-site units,,5% of total project units. And the set-aside requirement varies.,Yes,120% AMI,50% AMI,Multiple options of income targeting requirement,,,Multiple options of income targeting requirement,,,In perpetuity,,In perpetuity,,,,,,,,,,,,,,,,,,,,,,
1035,"Jersey City, NJ: Inclusionary Zoning",Inclusionary Zoning,Jersey City,Town or city,1600000US3436000,Place,1 Jackson Square ,Jersey City,Hudson,NJ,New Jersey,7305,"Entire jurisdiction but requirements vary by zones, neighborhood, or districts",2021,2021,,2022,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,,,,,"Notice of violation and opportunity to cure, Financial penalty",,"Density bonus, other zoning variance, public subsidy","On-site units, off-site units, in-lieu fee, other",1 unit,20 of total project units,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80 % AMI,,Single income targeting requirement,0 - 80 % AMI,, 10 years,, 10 years,,,,,,,,,,,,,,,,,,,,,,
617,"Barnegat Township, NJ: City-wide IZ",City-wide IZ,Barnegat Township,Town or city,0600000US3402903050,County Subdivision,900 West Bay Avenue,Barnegat,Ocean,NJ,New Jersey,8005,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, off-site units, rehab regulated units, in-lieu fee",5 units,20% of total project units,Yes,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,10,,,,,,,,,,,,,,,,,,
618,"Bedminster Township, NJ: City-wide IZ",City-wide IZ,Bedminster Township,Town or city,0600000US3403504450,County Subdivision,55 Miller Lane,Bedminster,Somerset,NJ,New Jersey,7921,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,Density bonus,"On-site units, rehab regulated units, in-lieu fee",,15% of total project units,No,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,566,,,,,,,,,,,,,,,,,,
620,"Berkeley Heights Township, NJ: City-wide IZ",City-wide IZ,Berkeley Heights Township,Town or city,0600000US3403905320,County Subdivision,29 Park Avenue,Berkeley Heights,Union,NJ,New Jersey,7922,Entire jurisdiction,,,,2020,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, off-site units, in-lieu fee",5 units,15% of total project units. And the set-aside requirement varies.,Yes,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,47,,,,,,,,,,,,,,,,,,
624,"Bloomfield Township, NJ: City-wide IZ",City-wide IZ,Bloomfield Township,Town or city,0600000US3401306260,County Subdivision,1 Municipal Plaza,Bloomfield,Essex,NJ,New Jersey,7003,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,Density bonus,"On-site units, in-lieu fee",5 units,20% of total project units,Yes,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,,,,,,,,,,,,,,,,,,,
627,"Boonton Town, NJ: City-wide IZ",City-wide IZ,Boonton Town,Town or city,0600000US3402706610,County Subdivision,100 Washington Street,Boonton,Morris,NJ,New Jersey,7005,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,On-site units,5 units,15% of total project units. And the set-aside requirement varies.,Yes,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,,,,,,,,,,,,,,,,,,,
635,"Burlington Township, NJ: City-wide IZ",City-wide IZ,Burlington Township,Town or city,0600000US3400508950,County Subdivision,851 Old York Road,Burlington Township,Burlington,NJ,New Jersey,8016,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,Density bonus,"On-site units, in-lieu fee",,15% of total project units. And the set-aside requirement varies.,Yes,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,,,,,,,,,,,,,,,,,,,
640,"Cape May City, NJ: City-wide IZ",City-wide IZ,Cape May City,Town or city,0600000US3400910270,County Subdivision,643 Washington Street,Cape May,Cape May,NJ,New Jersey,8204,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,Density bonus,"On-site units, off-site units, in-lieu fee",,20% of total project units,Yes,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,,,,,,,,,,,,,,,,,,,
644,"Chatham Borough, NJ: City-wide IZ",City-wide IZ,Chatham Borough,Town or city,0600000US3402712100,County Subdivision,54 Fairmount Avenue,Chatham,Morris,NJ,New Jersey,7928,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,Density bonus,"On-site units, rehab regulated units, in-lieu fee",5 units,20% of total project units,Yes,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,7,,,,,,,,,,,,,,,,,,
646,"Chatham Township, NJ: City-wide IZ",City-wide IZ,Chatham Township,Town or city,0600000US3402712130,County Subdivision,58 Meyersville Road,Chatham,Morris,NJ,New Jersey,7928,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,Density bonus,"On-site units, rehab regulated units, in-lieu fee",5 units,20% of total project units,Yes,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,7,,,,,,,,,,,,,,,,,,
648,"Chester Borough, NJ: City-wide IZ",City-wide IZ,Chester Borough,Town or city,0600000US3402712580,County Subdivision,50 North Road,Chester,Morris,NJ,New Jersey,7930,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, off-site units, in-lieu fee",8 units,12.5% of total project units,No,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,18,,,,,,,,,,,,,,,,,,
653,"Clinton Town, NJ: City-wide IZ",City-wide IZ,Clinton Town,Town or city,0600000US3401913720,County Subdivision,43 Leigh Street,Clinton,Hunterdon,NJ,New Jersey,8809,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,Density bonus,"On-site units, rehab regulated units, in-lieu fee",,15% of total project units,No,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,24,,,,,,,,,,,,,,,,,,
655,"Clinton Township, NJ: City-wide IZ",City-wide IZ,Clinton Township,Town or city,0600000US3401913750,County Subdivision,1370 Route 31 North,Lebanon,Hunterdon,NJ,New Jersey,8833,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,Density bonus,"On-site units, rehab regulated units, in-lieu fee",,15% of total project units,No,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,,,,,,,,,,,,,,,,,,,
661,"Denville Township, NJ: City-wide IZ",City-wide IZ,Denville Township,Town or city,0600000US3402717650,County Subdivision,1 Saint Mary's Place,Denville,Morris,NJ,New Jersey,7834,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, in-lieu fee",,12.5% of total project units,No,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,,,,,,,,,,,,,,,,,,,
